geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-13,100
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-14,99.11
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-15,103.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-16,91.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-17,143.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-18,154.3
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-19,149.35
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-20,138.52
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-21,101.69
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-22,102.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-23,111.01
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-24,141.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-25,161.64
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-26,126.49
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-27,94.69
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-28,93.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-29,98.96
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-30,105.8
county,Belknap County,driving,NA,New Hampshire,United States,2020-01-31,147.29
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-01,174.74
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-02,128.18
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-03,91.8
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-04,99.51
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-05,108.35
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-06,78.02
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-07,132.32
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-08,173.91
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-09,150.41
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-10,99.63
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-11,114.9
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-12,109.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-13,98.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-14,149.4
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-15,193.7
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-16,174.9
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-17,158.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-18,115.91
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-19,137.89
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-20,141.68
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-21,167.85
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-22,197.12
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-23,154.75
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-24,109.12
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-25,109.71
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-26,111.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-27,105.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-28,150.24
county,Belknap County,driving,NA,New Hampshire,United States,2020-02-29,165.3
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-01,143.52
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-02,96.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-03,108.68
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-04,101.19
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-05,108.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-06,129.42
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-07,154.2
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-08,128.37
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-09,103.54
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-10,105.36
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-11,110.38
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-12,103.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-13,107.54
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-14,120.57
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-15,104.04
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-16,83.44
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-17,74.55
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-18,76.88
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-19,63.47
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-20,77.9
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-21,78.89
county,Belknap County,driving,NA,New Hampshire,United States,2020-03-22,64.38
