geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-01-13,100
city,Salt Lake City,driving,NA,Utah,United States,2020-01-14,110.87
city,Salt Lake City,driving,NA,Utah,United States,2020-01-15,111.84
city,Salt Lake City,driving,NA,Utah,United States,2020-01-16,116.86
city,Salt Lake City,driving,NA,Utah,United States,2020-01-17,132.36
city,Salt Lake City,driving,NA,Utah,United States,2020-01-18,128.42
city,Salt Lake City,driving,NA,Utah,United States,2020-01-19,69.85
city,Salt Lake City,driving,NA,Utah,United States,2020-01-20,103.4
city,Salt Lake City,driving,NA,Utah,United States,2020-01-21,108.28
city,Salt Lake City,driving,NA,Utah,United States,2020-01-22,108.35
city,Salt Lake City,driving,NA,Utah,United States,2020-01-23,119.4
city,Salt Lake City,driving,NA,Utah,United States,2020-01-24,131.25
city,Salt Lake City,driving,NA,Utah,United States,2020-01-25,134.19
city,Salt Lake City,driving,NA,Utah,United States,2020-01-26,69.6
city,Salt Lake City,driving,NA,Utah,United States,2020-01-27,104.44
city,Salt Lake City,driving,NA,Utah,United States,2020-01-28,106.81
city,Salt Lake City,driving,NA,Utah,United States,2020-01-29,111.27
city,Salt Lake City,driving,NA,Utah,United States,2020-01-30,114.24
city,Salt Lake City,driving,NA,Utah,United States,2020-01-31,132.72
city,Salt Lake City,driving,NA,Utah,United States,2020-02-01,129.75
city,Salt Lake City,driving,NA,Utah,United States,2020-02-02,68.3
city,Salt Lake City,driving,NA,Utah,United States,2020-02-03,87.53
city,Salt Lake City,driving,NA,Utah,United States,2020-02-04,116.54
city,Salt Lake City,driving,NA,Utah,United States,2020-02-05,112.13
city,Salt Lake City,driving,NA,Utah,United States,2020-02-06,119.61
city,Salt Lake City,driving,NA,Utah,United States,2020-02-07,134.58
city,Salt Lake City,driving,NA,Utah,United States,2020-02-08,134.89
city,Salt Lake City,driving,NA,Utah,United States,2020-02-09,74.69
city,Salt Lake City,driving,NA,Utah,United States,2020-02-10,109.63
city,Salt Lake City,driving,NA,Utah,United States,2020-02-11,115.77
city,Salt Lake City,driving,NA,Utah,United States,2020-02-12,119.18
city,Salt Lake City,driving,NA,Utah,United States,2020-02-13,130.8
city,Salt Lake City,driving,NA,Utah,United States,2020-02-14,147.3
city,Salt Lake City,driving,NA,Utah,United States,2020-02-15,129.31
city,Salt Lake City,driving,NA,Utah,United States,2020-02-16,72.96
city,Salt Lake City,driving,NA,Utah,United States,2020-02-17,114.65
city,Salt Lake City,driving,NA,Utah,United States,2020-02-18,113.54
city,Salt Lake City,driving,NA,Utah,United States,2020-02-19,121.05
city,Salt Lake City,driving,NA,Utah,United States,2020-02-20,127.16
city,Salt Lake City,driving,NA,Utah,United States,2020-02-21,147.82
city,Salt Lake City,driving,NA,Utah,United States,2020-02-22,142.2
city,Salt Lake City,driving,NA,Utah,United States,2020-02-23,80.79
city,Salt Lake City,driving,NA,Utah,United States,2020-02-24,115.26
city,Salt Lake City,driving,NA,Utah,United States,2020-02-25,120.83
city,Salt Lake City,driving,NA,Utah,United States,2020-02-26,123.84
city,Salt Lake City,driving,NA,Utah,United States,2020-02-27,126.63
city,Salt Lake City,driving,NA,Utah,United States,2020-02-28,147.42
city,Salt Lake City,driving,NA,Utah,United States,2020-02-29,141.12
city,Salt Lake City,driving,NA,Utah,United States,2020-03-01,71.37
city,Salt Lake City,driving,NA,Utah,United States,2020-03-02,113.59
city,Salt Lake City,driving,NA,Utah,United States,2020-03-03,120.05
city,Salt Lake City,driving,NA,Utah,United States,2020-03-04,121.17
city,Salt Lake City,driving,NA,Utah,United States,2020-03-05,131.34
city,Salt Lake City,driving,NA,Utah,United States,2020-03-06,144.06
city,Salt Lake City,driving,NA,Utah,United States,2020-03-07,139.79
city,Salt Lake City,driving,NA,Utah,United States,2020-03-08,75.81
city,Salt Lake City,driving,NA,Utah,United States,2020-03-09,110.39
city,Salt Lake City,driving,NA,Utah,United States,2020-03-10,116.08
city,Salt Lake City,driving,NA,Utah,United States,2020-03-11,116.62
city,Salt Lake City,driving,NA,Utah,United States,2020-03-12,108.72
city,Salt Lake City,driving,NA,Utah,United States,2020-03-13,114.22
city,Salt Lake City,driving,NA,Utah,United States,2020-03-14,102.61
city,Salt Lake City,driving,NA,Utah,United States,2020-03-15,60.41
city,Salt Lake City,driving,NA,Utah,United States,2020-03-16,86.25
city,Salt Lake City,driving,NA,Utah,United States,2020-03-17,80.74
city,Salt Lake City,driving,NA,Utah,United States,2020-03-18,69.23
city,Salt Lake City,driving,NA,Utah,United States,2020-03-19,72.77
city,Salt Lake City,driving,NA,Utah,United States,2020-03-20,78.45
city,Salt Lake City,driving,NA,Utah,United States,2020-03-21,71.99
city,Salt Lake City,driving,NA,Utah,United States,2020-03-22,44.49
city,Salt Lake City,driving,NA,Utah,United States,2020-03-23,64.69
city,Salt Lake City,driving,NA,Utah,United States,2020-03-24,65
city,Salt Lake City,driving,NA,Utah,United States,2020-03-25,61.9
city,Salt Lake City,driving,NA,Utah,United States,2020-03-26,62.16
city,Salt Lake City,driving,NA,Utah,United States,2020-03-27,72.08
city,Salt Lake City,driving,NA,Utah,United States,2020-03-28,59.7
city,Salt Lake City,driving,NA,Utah,United States,2020-03-29,39.98
city,Salt Lake City,driving,NA,Utah,United States,2020-03-30,60
city,Salt Lake City,driving,NA,Utah,United States,2020-03-31,64.36
city,Salt Lake City,driving,NA,Utah,United States,2020-04-01,64.29
city,Salt Lake City,driving,NA,Utah,United States,2020-04-02,62.96
city,Salt Lake City,driving,NA,Utah,United States,2020-04-03,73.23
city,Salt Lake City,driving,NA,Utah,United States,2020-04-04,60.38
city,Salt Lake City,driving,NA,Utah,United States,2020-04-05,39.23
city,Salt Lake City,driving,NA,Utah,United States,2020-04-06,62.64
city,Salt Lake City,driving,NA,Utah,United States,2020-04-07,65.68
city,Salt Lake City,driving,NA,Utah,United States,2020-04-08,71.25
city,Salt Lake City,driving,NA,Utah,United States,2020-04-09,68.76
city,Salt Lake City,driving,NA,Utah,United States,2020-04-10,81.12
city,Salt Lake City,driving,NA,Utah,United States,2020-04-11,69.85
city,Salt Lake City,driving,NA,Utah,United States,2020-04-12,37.84
city,Salt Lake City,driving,NA,Utah,United States,2020-04-13,66.13
city,Salt Lake City,driving,NA,Utah,United States,2020-04-14,71.35
